# test log
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
getenv GOTMPDIR
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsDeleteRejectsUnsafeName3746737629\001\config.toml
getenv OPENROUTER_API_KEY
getenv WOOLF_SESSIONS_DIR
getenv USERPROFILE
getenv APPDATA
getenv LOCALAPPDATA
getenv USERPROFILE
getenv APPDATA
stat C:\Users\tiger\AppData\Local\woolf
stat C:\Users\tiger\AppData\Local\woolf\sessions
stat C:\Users\tiger\AppData\Local\woolf\agents
stat C:\Users\tiger\AppData\Local\woolf\cache
stat C:\Users\tiger\AppData\Local\woolf\logs
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
getenv GOTMPDIR
open D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001\draft.md
getenv WOOLF_SESSIONS_DIR
open D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001\config.toml
getenv OPENROUTER_API_KEY
getenv WOOLF_SESSIONS_DIR
getenv USERPROFILE
getenv APPDATA
getenv LOCALAPPDATA
getenv USERPROFILE
getenv APPDATA
stat C:\Users\tiger\AppData\Local\woolf
stat D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001\sessions
stat D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001
stat C:\Users\tiger\AppData\Local\woolf\agents
stat C:\Users\tiger\AppData\Local\woolf\cache
stat C:\Users\tiger\AppData\Local\woolf\logs
open D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001\draft.md
stat C:\Users\tiger\AppData\Local\woolf\agents
open C:\Users\tiger\AppData\Local\woolf\agents
stat D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001\sessions\20260510-063619-draft.json
stat D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001\sessions
open D:\AgentCoding\WoolfCLI\.gotmp\TestStartCommandRunsPipelineWithFakeClient2903193325\001\sessions\.woolf-2280915007.tmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
